[header]
Calibrated DALEC Transect File
DALECproc v6.0
Device: DALEC
DALEC serial number: 0005
Ed spectrometer module: SN099065
Lu spectrometer module: SN114810
Lsky spectrometer module: SN099059
DTF File Creation Date:Wed Jun 22 16:00:24 2022 UTC
Data Source: C:\Users\daa5\OneDrive - University of Stirling\Documents\DALEC_Doc\logFiles\TESTLOG_20220622.log
Calibration File: C:\Users\daa5\OneDrive - University of Stirling\Documents\DALEC_Doc\DALEC_SN0005\Cal\DALEC0005_2019_10_16.cal
Channel Ed units: W/m^2/nm
Channel Lu units: W/m^2/sr/nm
Channel Lsky units: W/m^2/sr/nm
[Spectrometer Wavelengths (nm)]
Pixel #,          Ed,          Lu,        Lsky
    163,        847.02,        847.79,        852.67
    164,        850.33,        851.08,        856.01
    165,        853.64,        854.37,        859.34
    166,        856.95,        857.65,        862.66
    167,        860.25,        860.94,        865.99
    168,        863.56,        864.22,        869.32
    169,        866.86,        867.51,        872.64
    170,        870.16,        870.79,        875.97
    171,        873.47,        874.07,        879.29
    172,        876.77,        877.35,        882.61
    173,        880.06,        880.63,        885.93
    174,        883.36,        883.90,        889.25
    175,        886.66,        887.18,        892.57
    176,        889.96,        890.45,        895.89
    177,        893.25,        893.72,        899.20
    178,        896.54,        896.99,        902.51
    179,        899.84,        900.26,        905.83
    180,        903.13,        903.53,        909.14
    181,        906.42,        906.80,        912.45
    182,        909.71,        910.06,        915.76
    183,        912.99,        913.32,        919.06
    184,        916.28,        916.59,        922.37
    185,        919.56,        919.85,        925.67
    186,        922.85,        923.11,        928.98
    187,        926.13,        926.36,        932.28
    188,        929.41,        929.62,        935.58
    189,        932.69,        932.87,        938.88
    190,        935.97,        936.13,        942.17
    191,        939.25,        939.38,        945.47
    192,        942.52,        942.63,        948.76
    193,        945.80,        945.88,        952.06
    194,        949.07,        949.12,        955.35
    195,        952.34,        952.37,        958.64
    196,        955.61,        955.61,        961.92
    197,        958.88,        958.85,        965.21
    198,        962.15,        962.09,        968.50
    199,        965.42,        965.33,        971.78
    200,        968.68,        968.57,        975.06
    201,        971.95,        971.80,        978.34
    202,        975.21,        975.04,        981.62
    203,        978.47,        978.27,        984.90
    204,        981.73,        981.50,        988.17
    205,        984.98,        984.73,        991.45
    206,        988.24,        987.95,        994.72
    207,        991.49,        991.18,        997.99
    208,        994.75,        994.40,       1001.26
    209,        998.00,        997.62,       1004.52
    210,       1001.25,       1000.84,       1007.79
    211,       1004.50,       1004.06,       1011.05
    212,       1007.74,       1007.28,       1014.31
    213,       1010.99,       1010.49,       1017.57
    214,       1014.23,       1013.70,       1020.83
    215,       1017.48,       1016.91,       1024.09
    216,       1020.72,       1020.12,       1027.34
    217,       1023.95,       1023.33,       1030.60
    218,       1027.19,       1026.53,       1033.85
    219,       1030.43,       1029.74,       1037.10
